STATE,"SECTION 5305(d)
5303 APPORTIONMENT","SECTION 5305(e)
5304 APPORTIONMENT   "
Alabama,1260843,331788
Alaska,649966,171037
Arizona,3906995,797091
Arkansas,658646,171037
California,23770796,4809433
Colorado,2891396,604798
Connecticut,1517996,399458
Delaware,649966,171037
District of Columbia,649966,171037
Florida,12530781,2602456
Georgia,4809282,969232
Hawaii,649966,171037
Idaho,649966,171037
Illinois,7139755,1385198
Indiana,2596986,553740
Iowa,734248,193216
Kansas,965635,210954
Kentucky,1050714,255854
Louisiana,1497307,394013
Maine,649966,171037
Maryland,3497424,675666
Massachusetts,4256904,851690
Michigan,4278790,906515
Minnesota,2386883,458747
Mississippi,649966,171037
Missouri,2422620,478766
Montana,649966,171037
Nebraska,649966,171037
Nevada,1918109,377121
New Hampshire,649966,171037
New Jersey,6075521,1152474
New Mexico,649966,171037
New York,11529890,2283994
North Carolina,3614226,807795
North Dakota,649966,171037
Ohio,4987915,1044660
Oklahoma,1016515,267494
Oregon,1759382,365392
Pennsylvania,5823764,1198917
Puerto Rico,1867647,384306
Rhode Island,737970,171037
South Carolina,1579152,414363
South Dakota,649966,171037
Tennessee,2437139,523338
Texas,14922856,3032834
Utah,1617826,357254
Vermont,649966,171037
Virginia,4249800,825639
Washington,3881948,790945
West Virginia,649966,171037
Wisconsin,1898354,423622
Testing 2,88888,88888
Wyoming,649966,171037
TOTAL,162491471,34207429
